Valor Apurado;valor;out_19;nov_19;dez_19;jan_20;fev_20;mar_20;abr_20;mai_20;jun_20;jul_20;ago_20;set_20;out_20;nov_20;dez_20;jan_21;fev_21;mar_21;abr_21;mai_21;jun_21;jul_21;ago_21;set_21;out_21;nov_21;dez_21;jan_22;fev_22;mar_22;abr_22;mai_22;jun_22;jul_22
set/14;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
out/14;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
nov/14;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
dez/14;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
13/2014;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
jan/15;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
fev/15;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
mar/15;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
abr/15;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
mai/15;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
jun/15;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
jul/15;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
ago/15;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
set/15;R$ 1.340,00;R$ 1.353,40;R$ 1.366,93;R$ 1.380,60;R$ 1.394,41;R$ 1.408,35;R$ 1.422,44;R$ 1.436,66;R$ 1.451,03;R$ 1.465,54;R$ 1.480,19;R$ 1.495,00;R$ 1.509,95;R$ 1.525,04;R$ 1.540,30;R$ 1.555,70;R$ 1.571,26;R$ 1.586,97;R$ 1.602,84;R$ 1.618,87;R$ 1.635,05;R$ 1.651,41;R$ 1.667,92;R$ 1.684,60;R$ 1.701,44;R$ 1.718,46;R$ 1.735,64;R$ 1.753,00;R$ 1.770,53;R$ 1.788,24;R$ 1.806,12;R$ 1.824,18;R$ 1.842,42;R$ 1.860,84;R$ 1.879,45
;R$ 18.760,00;R$ 18.947,60;R$ 19.137,08;R$ 19.328,45;R$ 19.521,73;R$ 19.716,95;R$ 19.914,12;R$ 20.113,26;R$ 20.314,39;R$ 20.517,54;R$ 20.722,71;R$ 20.929,94;R$ 21.139,24;R$ 21.350,63;R$ 21.564,14;R$ 21.779,78;R$ 21.997,58;R$ 22.217,55;R$ 22.439,73;R$ 22.664,12;R$ 22.890,77;R$ 23.119,67;R$ 23.350,87;R$ 23.584,38;R$ 23.820,22;R$ 24.058,42;R$ 24.299,01;R$ 24.542,00;R$ 24.787,42;R$ 25.035,29;R$ 25.285,65;R$ 25.538,50;R$ 25.793,89;R$ 26.051,83;R$ 26.312,34
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0010229-78.2017.5.03.0110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
